,Name,POS,Dollars,IP,ERA,WHIP,K/9,QS,SV,HLD,K-BB%,PL Rank,Eno
123,Cole Ragans,SP,-0.26065660117247913,160.313,3.88533,1.27983,9.65825,11.1283,0.0,0.014653600000000001,0.1570211797952652,9.0,27.0
124,Kenta Maeda,SP,-0.27489324537990845,131.915,4.20959,1.20645,9.285210000000001,8.41745,0.0,0.23583800000000002,0.18001624196767807,,76.0
125,Danny Coulombe,RP,-0.30500583015935145,54.5065,3.73967,1.27136,9.56207,0.0,1.3958899999999999,14.7242,0.1719464659690857,,
126,Hunter Greene,SP,-0.3748778689000325,149.23,4.194719999999999,1.2408299999999999,11.2657,10.3371,0.0,0.0,0.2072441205382347,54.0,33.0
127,John Means,SP,-0.4403491577470893,107.61399999999999,4.19224,1.18078,7.08444,7.10192,0.0,0.19880499999999998,0.13492905721068382,,93.0
128,John Schreiber,RP,-0.6509300766472015,58.4785,3.73259,1.2722200000000001,9.453330000000001,0.0,2.99707,13.1872,0.15637152642011642,,
129,Scott Alexander,SP/RP,-0.7206636658171719,46.4794,3.9322699999999995,1.28888,6.55028,0.0,0.536405,8.76056,0.10521712154150008,,
130,Abner Uribe,RP,-0.745512755895064,57.9159,3.4591199999999995,1.35579,11.7253,0.0,1.59115,14.2256,0.16087418794631958,,
131,Gavin Williams,SP,-0.7914202458810329,143.97,3.9593300000000005,1.25844,9.1764,9.1367,0.0,0.0,0.14858835190534592,39.0,54.0
132,Nick Pivetta,SP,-0.8079590934032408,160.711,4.2104,1.22699,10.2717,9.51547,0.280514,0.373147,0.18683454394340515,35.0,47.0
133,Tommy Kahnle,RP,-0.8179282416169706,46.5055,3.68974,1.23025,10.1201,0.0,1.9690900000000002,10.3053,0.17130429297685626,,
134,JoJo Romero,RP,-0.8971860864704166,52.9699,3.67958,1.22789,9.950289999999999,0.0,3.0497099999999997,8.97432,0.1810551881790161,,
135,Jonathan Loáisiga,RP,-0.9551535722871276,50.5897,3.73225,1.2267299999999999,7.289789999999999,0.0,3.23866,11.2505,0.1255747526884079,,
136,José Berríos,SP,-0.9646801771492172,174.304,4.14353,1.23045,8.43592,12.7221,0.0,0.0,0.15790099650621414,,49.0
137,Andrew Kittredge,RP,-1.1727273885091178,51.2334,3.7621300000000004,1.19757,7.651489999999999,0.0,2.72096,9.4213,0.15026411041617393,,
138,Sam Hentges,RP,-1.176004469507054,60.1728,3.65141,1.29611,9.666210000000001,0.0,0.5515770000000001,13.9348,0.16385851055383682,,
139,Eduardo Rodriguez,SP,-1.1775758094784377,162.713,3.9190400000000003,1.27518,8.49584,12.2128,0.0,0.0,0.14650464802980426,71.0,59.0
140,Merrill Kelly,SP,-1.1856561250440991,179.52700000000002,3.9894,1.26548,8.545630000000001,13.6539,0.0,0.0,0.1447199583053589,50.0,46.0
141,Brock Burke,RP,-1.3531043270176752,63.522,3.8802,1.21783,8.92375,0.0,0.369557,11.671,0.1725747063755989,,
142,Mark Leiter Jr.,RP,-1.4719239062156897,60.8684,4.03881,1.25055,10.0235,0.0,1.5097200000000002,14.3253,0.17645756900310516,,
143,David Robertson,RP,-1.5045564444767783,59.1203,3.8650800000000003,1.29125,10.2816,0.0,8.55765,10.683,0.1672748401761055,,
144,Nathan Eovaldi,SP,-1.5775607429549017,149.017,4.05549,1.2491,8.30685,10.8826,0.0,0.0,0.15036562830209732,38.0,51.0
145,Tyler Wells,SP,-1.6912762503685004,102.71700000000001,4.29424,1.19455,8.326080000000001,4.5955900000000005,0.49763500000000005,1.9933900000000002,0.1516813039779663,85.0,128.0
146,Ryan Brasier,RP,-1.6992396832498344,56.3686,4.10544,1.2299799999999999,8.914769999999999,0.0,0.864617,14.383,0.16327320039272308,,
147,Aaron Bummer,RP,-1.70812651006824,59.8083,3.7923,1.3150600000000001,10.8151,0.0,0.918708,14.8298,0.1735643371939659,,
148,Ian Hamilton,RP,-1.7114623863843246,59.8524,3.5811599999999997,1.2876299999999998,10.1484,0.0,1.61758,10.3753,0.1622212901711464,,
149,Orion Kerkering,RP,-1.7569168619526323,53.0839,3.75001,1.24317,10.3346,0.0,3.0672900000000003,8.677589999999999,0.1925648897886276,,
