,Name,POS,Dollars,PA,HR,R,RBI,SB,OBP,SLG,OPS,wOBA
190,Ryan Jeffers,C,-6.182735946839986,381.865,16.4328,45.7079,47.3737,2.3391900000000003,0.323156,0.43934399999999996,0.7625,0.329561
191,Yoan Moncada,3B,-6.250344431654095,554.714,17.0444,62.9473,61.832,2.6564900000000002,0.31685599999999997,0.408306,0.725162,0.314925
192,Charlie Blackmon,OF/DH,-6.544613695217046,469.31800000000004,10.571,59.31399999999999,51.0044,3.84378,0.341179,0.42203199999999996,0.763211,0.331753
193,Shea Langeliers,C,-6.623299439401745,460.275,20.5514,48.9558,56.6001,2.5708,0.283618,0.424217,0.707835,0.30249299999999996
194,Nolan Schanuel,1B,-7.146565957764923,486.76099999999997,9.00787,63.5344,45.0882,2.79184,0.369963,0.386552,0.756514,0.336873
195,Mitch Haniger,OF,-7.211416801757468,452.853,18.7005,53.4362,57.4184,1.42646,0.301492,0.42058599999999996,0.722078,0.311138
196,Jeff McNeil,2B/OF,-7.23066803988417,553.262,8.353639999999999,63.7737,53.9583,5.99456,0.340808,0.39433,0.735138,0.322727
197,Rowdy Tellez,1B/DH,-7.230765446655575,413.645,18.1068,44.0311,57.9333,0.79633,0.315,0.434163,0.749163,0.320707
198,Joey Gallo,1B/OF,-7.924114877609931,391.35400000000004,20.7454,47.0715,49.5977,2.3832299999999997,0.310462,0.41550600000000004,0.7259680000000001,0.316144
199,Sean Bouchard,OF,-7.983066724165326,346.398,12.4471,47.1733,42.6727,6.46485,0.340495,0.451237,0.791732,0.34164
200,Maikel Garcia,3B,-8.167451412548871,545.6569999999999,7.233860000000001,66.4847,50.2618,22.7804,0.32716999999999996,0.377116,0.704286,0.308961
201,Luke Raley,1B/OF,-8.239198475580203,389.88800000000003,15.8422,48.5809,47.6089,9.739419999999999,0.309746,0.41935,0.729096,0.31619400000000003
202,Colten Keith,2B/3B,-8.259875459430605,481.596,14.1656,55.0324,57.9465,3.08633,0.320313,0.422054,0.742367,0.320562
203,Leody Taveras,OF,-8.277129184431631,473.09,11.589,57.4188,51.6027,13.9093,0.309126,0.40129499999999996,0.710421,0.307683
204,Jackson Holliday,SS,-8.322297024821301,476.954,8.20041,60.034,46.5331,10.3242,0.345429,0.385865,0.731294,0.322131
205,Tyler Stephenson,C/DH,-8.698792954059831,424.25,11.8881,49.5854,50.7809,0.764038,0.329779,0.405561,0.73534,0.320924
206,Andrew McCutchen,DH,-8.956813048550528,458.895,12.6408,54.3541,50.0236,7.93253,0.34268000000000004,0.391054,0.733734,0.32412199999999997
207,Andrew Benintendi,OF,-8.999737309816041,573.202,8.01188,66.9112,50.3716,10.6948,0.334622,0.376843,0.711465,0.312087
208,Luis Campusano,C,-9.044476701849476,430.32099999999997,12.9397,48.4858,54.0282,0.484466,0.31469,0.41034,0.725029,0.314106
209,Ryan O'Hearn,1B/OF,-9.096708172089892,380.05,14.7305,45.1206,53.1597,3.21677,0.30792800000000004,0.44100200000000006,0.74893,0.319909
210,Adam Duvall,OF,-9.203152655203818,360.476,18.5077,44.2072,53.2985,2.6898,0.282526,0.44629300000000005,0.72882,0.310055
211,Carlos Santana,1B,-9.21472172585396,485.774,14.575999999999999,54.7841,57.681000000000004,2.84809,0.321137,0.380952,0.7020890000000001,0.309169
212,Anthony Rendon,3B,-9.324316063001381,434.426,11.3757,50.9325,52.2148,2.86639,0.352689,0.405568,0.758257,0.333138
213,Alek Thomas,OF,-9.394569752179539,480.329,10.4681,58.919,52.20399999999999,9.653939999999999,0.309969,0.40424,0.71421,0.308485
214,Javier Baez,SS,-9.66884821843934,535.658,13.9755,61.0022,60.4136,11.1845,0.286506,0.383833,0.670339,0.29025100000000004
215,Parker Meadows,OF,-9.757670098403805,510.788,13.1739,60.9678,49.2254,15.1446,0.30041,0.381412,0.681823,0.296748
216,Ramon Laureano,OF,-9.796475832736194,435.754,12.9963,52.7566,47.5938,12.2763,0.310753,0.394956,0.705709,0.308861
217,Wilyer Abreu,OF,-9.839239248713524,370.971,11.7373,47.4861,44.1893,8.85572,0.333169,0.41057299999999997,0.743742,0.32511
218,Jordan Westburg,2B/3B,-9.843377083402924,447.01199999999994,12.977,54.0408,51.7242,6.97763,0.31748000000000004,0.415842,0.733323,0.317782
219,Alex Kirilloff,1B/OF,-10.143892739629313,378.17,12.4883,44.885,48.3508,1.9061400000000002,0.331862,0.433458,0.76532,0.330834
220,Michael Massey,2B,-10.151335583823784,444.7,13.8965,49.0697,53.9133,6.3510599999999995,0.29999899999999996,0.411152,0.711151,0.306006
221,Elias Diaz,C,-10.366028443243756,446.769,13.2166,46.3309,54.5703,0.875439,0.307215,0.406903,0.714117,0.309214
222,Luis Garcia,2B,-10.499847182272504,466.77,10.0495,54.1965,50.7662,7.26624,0.312965,0.408794,0.721759,0.310653
223,Trent Grisham,OF,-10.61223327017832,370.24699999999996,13.6055,47.5476,41.5956,9.39502,0.32085,0.405908,0.726758,0.317764
224,Chris Taylor,3B/SS/OF,-10.71818434734215,392.375,12.7544,49.9818,47.696000000000005,11.2839,0.316945,0.404024,0.72097,0.313839
225,Brenton Doyle,OF,-11.21765994414603,460.534,13.3784,54.685,49.0862,19.0203,0.278837,0.385856,0.664694,0.28683400000000003
226,Wilmer Flores,1B/3B/DH,-11.288373299193351,382.16900000000004,14.3438,45.434,48.3374,0.176062,0.329729,0.43563100000000005,0.76536,0.331031
227,Harrison Bader,OF,-11.559530976397074,410.324,10.815999999999999,49.2136,44.4063,20.3626,0.297257,0.387036,0.684292,0.296802
228,Jake Rogers,C,-11.78827423505418,360.418,16.2319,42.3981,45.4805,1.73994,0.28567600000000004,0.416867,0.702543,0.302273
229,Willi Castro,3B/OF,-11.938620294325645,403.67,9.19626,53.2014,39.0008,22.9224,0.312542,0.38765,0.700191,0.305525
230,Alejandro Kirk,C,-12.0370392839849,368.246,9.86025,39.5035,42.0325,0.166181,0.350337,0.40920300000000004,0.759541,0.33292
231,Austin Wells,C,-12.197032429146581,351.46,12.7258,39.5612,45.6722,3.79538,0.304682,0.410275,0.714957,0.309075
232,Brandon Belt,1B/DH,-12.210959219217818,319.79900000000004,14.132,39.633,39.1457,0.7995720000000001,0.338972,0.437283,0.776255,0.336541
233,Patrick Wisdom,3B,-12.268843466809395,306.661,17.7656,39.7239,44.6083,4.1999,0.294428,0.44834399999999996,0.742772,0.31790999999999997
234,Joey Meneses,DH,-12.424878772744913,557.361,13.3178,56.4721,62.6532,0.46758500000000003,0.308836,0.393343,0.702178,0.30445500000000003
235,DJ LeMahieu,1B/3B,-12.795211098689865,512.237,10.9345,61.3125,47.5087,2.87975,0.335215,0.374679,0.7098939999999999,0.314171
236,Whit Merrifield,2B/OF,-12.838257062871008,432.45099999999996,7.506639999999999,52.3303,45.1271,17.5566,0.306148,0.375284,0.681431,0.29647199999999996
237,J.J. Bleday,OF,-12.995102121135252,450.353,14.3504,49.488,46.1466,5.7899,0.312322,0.38061500000000004,0.692938,0.305005
238,Masyn Winn,SS,-13.071090726367855,479.524,9.60029,57.5168,47.3492,13.1528,0.301299,0.372224,0.673524,0.2939
239,Ceddanne Rafaela,OF,-13.119401683498303,381.287,9.280339999999999,49.115,43.2694,14.3141,0.29496,0.40492,0.6998810000000001,0.30128699999999997
240,Brice Turang,2B/SS,-13.452771889761644,461.99300000000005,8.17868,51.2363,42.851000000000006,20.6982,0.310471,0.35843,0.668901,0.29442399999999996
241,Tim Anderson,SS,-13.863990410581632,522.909,6.15655,61.7933,43.699,14.4783,0.315664,0.370182,0.685846,0.300299
242,Edward Olivares,OF/DH,-14.008764853852265,351.01199999999994,9.693589999999999,43.0619,37.4876,9.45433,0.318436,0.421029,0.7394649999999999,0.319671
243,Travis d'Arnaud,C,-14.100292604339659,324.35200000000003,11.3869,38.8459,42.8346,0.108688,0.305605,0.41727,0.722875,0.31282600000000005
244,Mickey Moniak,OF,-14.19741935378012,377.996,14.5306,43.645,44.9036,5.99795,0.277509,0.42572,0.703229,0.299132
245,Kyle Isbel,OF,-14.39115302977035,398.653,9.603760000000001,50.3163,41.1807,11.2274,0.300076,0.39587100000000003,0.695947,0.30143400000000004
246,Kyle Manzardo,1B,-14.804988300342838,400.226,12.6619,41.9883,46.8441,1.0696700000000001,0.314195,0.401125,0.715321,0.311068
247,Junior Caminero,2B/3B/SS/DH,-14.911265903146393,317.873,11.8855,38.7836,42.8142,2.92828,0.319258,0.440416,0.759674,0.32662199999999997
248,Jason Heyward,OF,-15.05044575907722,353.934,11.102,44.1783,40.3246,2.57384,0.31803200000000004,0.407803,0.725835,0.31560900000000003
249,Amed Rosario,2B/SS,-15.239611763996349,393.805,6.74452,48.8326,41.1239,10.3807,0.308456,0.394004,0.7024600000000001,0.304435
250,Geraldo Perdomo,2B/SS,-15.2903813888202,446.935,5.73321,55.0448,37.4688,12.582,0.334438,0.344107,0.678545,0.303358
251,Michael Busch,1B/2B/3B/OF/DH,-15.437482464982759,370.606,12.2538,44.4871,43.8414,2.42214,0.316567,0.408004,0.724571,0.31557199999999996
252,Garrett Mitchell,OF,-15.556141886381988,381.01300000000003,8.98707,47.0606,36.9254,13.3104,0.311925,0.376158,0.688083,0.30185500000000004
253,Gary Sanchez,C,-15.564936354532414,268.328,13.5934,30.2801,37.711999999999996,0.536473,0.298185,0.42652399999999996,0.724709,0.31298400000000004
